,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0.88,0.95,0.7,0.92,0.88,0.97,0.93,0.94,0.92,0.96,0.91,0.84,0.93,0.95,0.95,0.86,0.68,0.75,0.68,0.94,0.48,0.4,0.94,0.94,0.75,0.33,0.37,0.26,0.06,0.11,0.15,0.14,0.08
1,0.84,0.94,0.89,0.83,0.87,0.89,0.81,0.76,0.77,0.92,0.89,0.91,0.87,0.96,0.71,0.95,0.95,0.85,0.78,0.93,0.63,0.29,0.95,0.82,0.85,0.28,0.32,0.24,0.07,0.11,0.15,0.14,0.11
2,0.87,0.87,0.62,0.87,0.87,0.96,0.88,0.87,0.81,0.95,0.94,0.89,0.96,0.92,0.84,0.8,0.61,0.81,0.49,0.84,0.51,0.36,0.87,0.9,0.9,0.27,0.26,0.29,0.09,0.09,0.15,0.15,0.11
3,0.13,0.11,0.15,0.43,0.13,0.12,0.13,0.14,0.4,0.3,0.43,0.6,0.67,0.88,0.49,0.59,0.78,0.41,0.78,0.12,0.34,0.19,0.11,0.65,0.11,0.27,0.12,0.18,0.87,0.92,0.78,0.9,0.89
4,0.81,0.84,0.61,0.89,0.83,0.95,0.83,0.79,0.83,0.94,0.94,0.88,0.95,0.9,0.94,0.82,0.56,0.84,0.63,0.8,0.54,0.41,0.87,0.89,0.88,0.34,0.27,0.22,0.11,0.12,0.06,0.08,0.08
5,0.93,0.82,0.55,0.92,0.82,0.86,0.85,0.83,0.91,0.91,0.77,0.76,0.78,0.91,0.76,0.91,0.63,0.89,0.74,0.9,0.76,0.61,0.88,0.94,0.79,0.68,0.58,0.51,0.15,0.13,0.05,0.1,0.13
6,0.18,0.14,0.11,0.61,0.14,0.21,0.18,0.12,0.63,0.3,0.38,0.5,0.37,0.86,0.43,0.66,0.79,0.35,0.78,0.1,0.43,0.22,0.11,0.7,0.25,0.25,0.13,0.1,0.88,0.85,0.88,0.88,0.9
7,0.53,0.52,0.86,0.78,0.45,0.7,0.6,0.7,0.81,0.76,0.74,0.79,0.61,0.88,0.53,0.81,0.9,0.75,0.92,0.64,0.82,0.89,0.47,0.65,0.62,0.91,0.92,0.85,0.13,0.1,0.13,0.11,0.11
8,0.86,0.72,0.55,0.92,0.76,0.87,0.85,0.78,0.88,0.92,0.77,0.71,0.92,0.89,0.93,0.79,0.68,0.85,0.58,0.82,0.62,0.82,0.79,0.91,0.82,0.68,0.76,0.71,0.13,0.09,0.07,0.14,0.09
9,0.79,0.9,0.59,0.84,0.79,0.89,0.83,0.69,0.75,0.89,0.94,0.92,0.91,0.92,0.88,0.8,0.69,0.85,0.73,0.84,0.63,0.55,0.92,0.84,0.77,0.38,0.43,0.41,0.14,0.14,0.09,0.11,0.14
10,0.78,0.89,0.77,0.82,0.79,0.91,0.79,0.63,0.7,0.9,0.96,0.96,0.92,0.89,0.83,0.83,0.76,0.84,0.76,0.79,0.62,0.38,0.89,0.8,0.7,0.34,0.34,0.32,0.13,0.05,0.07,0.11,0.06
11,0.3,0.22,0.83,0.71,0.14,0.69,0.28,0.28,0.63,0.71,0.69,0.73,0.52,0.86,0.41,0.55,0.81,0.73,0.95,0.15,0.87,0.88,0.35,0.52,0.33,0.91,0.9,0.87,0.07,0.11,0.07,0.13,0.05
12,0.75,0.94,0.86,0.81,0.85,0.8,0.78,0.68,0.83,0.84,0.68,0.72,0.71,0.91,0.73,0.9,0.79,0.87,0.84,0.86,0.78,0.35,0.93,0.81,0.9,0.56,0.36,0.38,0.08,0.1,0.11,0.14,0.11
13,0.17,0.13,0.19,0.45,0.2,0.27,0.19,0.18,0.44,0.3,0.56,0.47,0.4,0.88,0.37,0.64,0.52,0.32,0.78,0.14,0.27,0.11,0.13,0.66,0.23,0.15,0.19,0.16,0.85,0.84,0.85,0.9,0.89
14,0.17,0.13,0.21,0.5,0.13,0.18,0.21,0.19,0.47,0.38,0.57,0.58,0.63,0.87,0.43,0.61,0.67,0.43,0.6,0.12,0.38,0.3,0.12,0.65,0.29,0.25,0.21,0.13,0.9,0.84,0.81,0.85,0.92
15,0.68,0.65,0.54,0.86,0.56,0.79,0.49,0.49,0.81,0.8,0.79,0.77,0.82,0.93,0.92,0.71,0.77,0.97,0.73,0.63,0.9,0.92,0.72,0.79,0.54,0.9,0.91,0.85,0.15,0.12,0.1,0.07,0.1
16,0.54,0.33,0.83,0.65,0.45,0.59,0.6,0.31,0.65,0.61,0.61,0.73,0.57,0.82,0.57,0.78,0.89,0.59,0.89,0.49,0.91,0.88,0.28,0.5,0.5,0.94,0.91,0.89,0.03,0.03,0.02,0.04,0.03
17,0.7,0.93,0.78,0.83,0.85,0.88,0.83,0.73,0.64,0.89,0.82,0.78,0.84,0.92,0.91,0.89,0.81,0.79,0.74,0.84,0.65,0.24,0.93,0.83,0.83,0.3,0.29,0.24,0.13,0.15,0.06,0.11,0.14
18,0.66,0.63,0.92,0.8,0.69,0.65,0.74,0.72,0.83,0.83,0.74,0.71,0.78,0.87,0.66,0.79,0.93,0.8,0.85,0.62,0.9,0.88,0.67,0.71,0.86,0.85,0.87,0.9,0.11,0.08,0.09,0.07,0.11
19,0.78,0.91,0.83,0.82,0.9,0.85,0.86,0.82,0.72,0.84,0.76,0.7,0.79,0.92,0.79,0.88,0.69,0.82,0.86,0.86,0.87,0.41,0.92,0.82,0.83,0.57,0.45,0.38,0.27,0.25,0.31,0.33,0.37
20,0.62,0.88,0.85,0.82,0.88,0.85,0.77,0.85,0.65,0.88,0.77,0.77,0.78,0.9,0.82,0.87,0.84,0.78,0.84,0.84,0.81,0.39,0.91,0.77,0.86,0.34,0.42,0.19,0.15,0.06,0.12,0.08,0.1
21,0.62,0.67,0.68,0.89,0.44,0.8,0.66,0.68,0.82,0.88,0.4,0.43,0.67,0.87,0.49,0.61,0.66,0.86,0.77,0.54,0.85,0.89,0.77,0.86,0.6,0.9,0.86,0.8,0.05,0.08,0.13,0.09,0.13
22,0.83,0.89,0.84,0.85,0.87,0.88,0.86,0.85,0.82,0.9,0.82,0.81,0.9,0.92,0.83,0.82,0.89,0.87,0.63,0.83,0.73,0.49,0.9,0.86,0.86,0.59,0.54,0.49,0.14,0.08,0.14,0.13,0.14
23,0.82,0.8,0.64,0.87,0.88,0.9,0.88,0.88,0.75,0.93,0.86,0.81,0.91,0.84,0.85,0.8,0.75,0.79,0.61,0.86,0.48,0.42,0.8,0.87,0.86,0.32,0.48,0.4,0.05,0.04,0.04,0.05,0.08
24,0.8,0.75,0.75,0.86,0.84,0.87,0.85,0.82,0.9,0.9,0.67,0.79,0.75,0.82,0.66,0.9,0.82,0.87,0.89,0.82,0.78,0.64,0.83,0.88,0.83,0.63,0.67,0.65,0.05,0.06,0.02,0.04,0.03
25,0.2,0.14,0.14,0.56,0.18,0.23,0.15,0.2,0.58,0.4,0.64,0.63,0.6,0.87,0.48,0.7,0.66,0.41,0.68,0.18,0.38,0.27,0.2,0.7,0.17,0.29,0.15,0.08,0.86,0.82,0.93,0.86,0.88
26,0.78,0.83,0.38,0.84,0.67,0.89,0.75,0.63,0.69,0.88,0.96,0.91,0.94,0.89,0.94,0.76,0.57,0.79,0.54,0.77,0.38,0.3,0.91,0.79,0.69,0.47,0.53,0.47,0.15,0.12,0.12,0.15,0.09
27,0.88,0.77,0.52,0.91,0.8,0.81,0.89,0.86,0.89,0.91,0.75,0.71,0.79,0.88,0.8,0.84,0.5,0.93,0.57,0.89,0.46,0.56,0.85,0.92,0.67,0.59,0.57,0.22,0.09,0.14,0.07,0.07,0.06
28,0.14,0.14,0.13,0.33,0.12,0.13,0.19,0.2,0.35,0.23,0.46,0.52,0.61,0.83,0.45,0.54,0.68,0.38,0.7,0.17,0.23,0.15,0.13,0.44,0.27,0.2,0.18,0.16,0.85,0.89,0.72,0.85,0.87
29,0.57,0.65,0.85,0.83,0.57,0.63,0.58,0.43,0.81,0.82,0.48,0.63,0.57,0.85,0.36,0.62,0.75,0.7,0.87,0.51,0.76,0.89,0.64,0.72,0.69,0.89,0.88,0.87,0.1,0.11,0.14,0.15,0.08
30,0.12,0.1,0.1,0.36,0.12,0.12,0.12,0.14,0.34,0.16,0.51,0.55,0.47,0.83,0.36,0.52,0.78,0.41,0.71,0.19,0.25,0.22,0.12,0.41,0.23,0.25,0.1,0.13,0.88,0.85,0.69,0.89,0.89
31,0.15,0.13,0.25,0.55,0.11,0.3,0.14,0.11,0.59,0.46,0.54,0.6,0.51,0.84,0.35,0.68,0.77,0.43,0.8,0.16,0.29,0.3,0.12,0.7,0.47,0.17,0.1,0.11,0.87,0.87,0.91,0.85,0.87
32,0.13,0.1,0.1,0.5,0.11,0.1,0.11,0.1,0.5,0.34,0.65,0.62,0.55,0.86,0.54,0.51,0.74,0.41,0.43,0.14,0.31,0.27,0.1,0.3,0.4,0.29,0.1,0.18,0.89,0.82,0.68,0.84,0.91
33,0.84,0.72,0.54,0.92,0.82,0.87,0.82,0.77,0.84,0.92,0.69,0.61,0.87,0.89,0.88,0.72,0.64,0.73,0.48,0.73,0.57,0.5,0.88,0.91,0.75,0.59,0.53,0.29,0.06,0.15,0.07,0.06,0.12
34,0.7,0.88,0.89,0.78,0.9,0.79,0.77,0.76,0.52,0.81,0.74,0.76,0.74,0.91,0.59,0.88,0.88,0.91,0.79,0.79,0.84,0.54,0.93,0.77,0.85,0.57,0.48,0.39,0.12,0.05,0.13,0.13,0.1
35,0.52,0.42,0.88,0.79,0.47,0.53,0.49,0.49,0.7,0.74,0.61,0.6,0.57,0.81,0.53,0.67,0.9,0.65,0.89,0.43,0.88,0.87,0.48,0.52,0.5,0.9,0.89,0.87,0.06,0.08,0.15,0.05,0.15
36,0.88,0.75,0.58,0.91,0.82,0.8,0.86,0.84,0.92,0.89,0.5,0.41,0.6,0.87,0.71,0.87,0.3,0.74,0.73,0.86,0.6,0.76,0.75,0.89,0.73,0.72,0.7,0.62,0.1,0.11,0.13,0.07,0.1
37,0.82,0.87,0.49,0.86,0.9,0.87,0.89,0.86,0.77,0.88,0.85,0.85,0.86,0.87,0.84,0.88,0.71,0.76,0.67,0.87,0.51,0.48,0.89,0.86,0.9,0.49,0.37,0.45,0.12,0.12,0.13,0.13,0.11
